"","person","position_current","source","date_of_appointment","date_of_birth","age","birthplace","sex","bachelors","masters","doctorate","law","law_conservative_score","law_rank","barr_appointment","political_affiliation","employer_past","firm_conservative_score","start_date","end_date","american_center_for_law_and_justice","christian_legal_society_bar_association","federalist_society","heritage_foundation","national_rifle_association_tie","republican_national_lawyers_association_tie"
"532","Eric S. Dreiband","Assistant Attorney General for the Civil Rights Division","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Federalist Society",NA,NA,NA,NA,NA,NA,NA,NA,NA
"533","Jeffrey A. Rosen",NA,"justicedept",NA,NA,NA,NA,NA,"Northwestern University",NA,NA,"Harvard University",-0.816,1,NA,NA,"Georgetown University Law Center",NA,1996,2003,NA,NA,NA,NA,NA,NA
"534","John C. Demers","Assistant Attorney General for the National Security Division","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georgetown University Law Center",NA,NA,NA,NA,NA,NA,NA,NA,NA
"535","William P. Barr","Attorney General","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gte Corp",NA,1997,2000,NA,NA,NA,NA,NA,NA
"536","William P. Barr","Attorney General","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gte Corp",NA,1994,1997,NA,NA,NA,NA,NA,NA
"537","Jefferson B. Sessions","Attorney General","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guin Bouldin & Porch",NA,NA,NA,NA,NA,NA,NA,NA,NA
"538","William P. Barr","Attorney General","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holcim US Inc",NA,2008,2013,NA,NA,NA,NA,NA,NA
"539","Noel Francisco","Principal Deputy Solicitor General","justicedept",NA,NA,NA,NA,NA,"University of Chicago",NA,NA,"University of Chicago",-0.833,4,NA,NA,"Jones Day LLP",-0.213,2017,NA,NA,NA,1,1,NA,NA
"540","Noel Francisco","Principal Deputy Solicitor General","justicedept",NA,NA,NA,NA,NA,"University of Chicago",NA,NA,"University of Chicago",-0.833,4,NA,NA,"Jones Day LLP",-0.213,2005,2008,NA,NA,1,1,NA,NA
"541","Eric S. Dreiband","Assistant Attorney General for the Civil Rights Division","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones Day LLP",-0.213,NA,NA,NA,NA,NA,NA,NA,NA
"542","Noel Francisco","Principal Deputy Solicitor General","justicedept",NA,NA,NA,NA,NA,"University of Chicago",NA,NA,"University of Chicago",-0.833,4,NA,NA,"Jones Day LLP",-0.213,2017,NA,NA,NA,1,1,NA,NA
"543","Noel Francisco","Principal Deputy Solicitor General","justicedept",NA,NA,NA,NA,NA,"University of Chicago",NA,NA,"University of Chicago",-0.833,4,NA,NA,"Jones Day LLP",-0.213,2008,2017,NA,NA,1,1,NA,NA
"544","Eric S. Dreiband","Assistant Attorney General for the Civil Rights Division","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jones Day LLP",-0.213,NA,NA,NA,NA,NA,NA,NA,NA
"545","Rod J. Rosenstein","Deputy Attorney General","justicedept",NA,NA,NA,NA,NA,"University of Pennsylvania",NA,NA,"Harvard University",-0.816,1,NA,NA,"King & Spalding LLP",-0.097,2020,NA,NA,NA,1,1,NA,NA
"546","Joseph H. Hunt","Assistant Attorney General for the Civil Division","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"King & Spalding LLP",-0.097,NA,1999,NA,NA,NA,NA,NA,NA
"547","Beth Ann Williams","Assistant Attorney General for the Office of Legal Policy","justicedept",NA,NA,NA,NA,NA,"Harvard University",NA,NA,"Harvard University",-0.816,1,NA,NA,"Kirkland & Ellis",NA,2006,2010,NA,NA,1,1,NA,NA
"548","Jeffrey A. Rosen",NA,"justicedept",NA,NA,NA,NA,NA,"Northwestern University",NA,NA,"Harvard University",-0.816,1,NA,NA,"Kirkland & Ellis",-0.363,1982,2003,NA,NA,NA,NA,NA,NA
"549","Jeffrey Bossert Clark","Assistant Attorney General for the Environment and Natural Resources Division","justicedept",NA,NA,NA,NA,NA,"Harvard University","University of Delaware",NA,"Georgetown University",-0.821,15,NA,NA,"Kirkland & Ellis",-0.363,NA,NA,NA,NA,1,1,NA,NA
"550","Beth Ann Williams","Assistant Attorney General for the Office of Legal Policy","justicedept",NA,NA,NA,NA,NA,"Harvard University",NA,NA,"Harvard University",-0.816,1,NA,NA,"Kirkland & Ellis",-0.363,2017,NA,NA,NA,1,1,NA,NA
"551","Jeffrey Bossert Clark","Assistant Attorney General for the Environment and Natural Resources Division","justicedept",NA,NA,NA,NA,NA,"Harvard University","University of Delaware",NA,"Georgetown University",-0.821,15,NA,NA,"Kirkland & Ellis",-0.363,NA,NA,NA,NA,1,1,NA,NA
"552","Beth Ann Williams","Assistant Attorney General for the Office of Legal Policy","justicedept",NA,NA,NA,NA,NA,"Harvard University",NA,NA,"Harvard University",-0.816,1,NA,NA,"Kirkland & Ellis",-0.363,2017,NA,NA,NA,1,1,NA,NA
"553","Beth Ann Williams","Assistant Attorney General for the Office of Legal Policy","justicedept",NA,NA,NA,NA,NA,"Harvard University",NA,NA,"Harvard University",-0.816,1,NA,NA,"Kirkland & Ellis",-0.363,2010,2017,NA,NA,1,1,NA,NA
"554","Brian Allen Benczkowski","Assistant Attorney General for the Criminal Division","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kirkland & Ellis",-0.363,NA,NA,NA,NA,NA,NA,NA,NA
"555","Jeffrey A. Rosen",NA,"justicedept",NA,NA,NA,NA,NA,"Northwestern University",NA,NA,"Harvard University",-0.816,1,NA,NA,"Kirkland & Ellis",-0.363,NA,NA,NA,NA,NA,NA,NA,NA
"556","Jeffrey Bossert Clark","Assistant Attorney General for the Environment and Natural Resources Division","justicedept",NA,NA,NA,NA,NA,"Harvard University","University of Delaware",NA,"Georgetown University",-0.821,15,NA,NA,"Kirkland & Ellis",-0.363,NA,NA,NA,NA,1,1,NA,NA
"557","Jeffrey A. Rosen",NA,"justicedept",NA,NA,NA,NA,NA,"Northwestern University",NA,NA,"Harvard University",-0.816,1,NA,NA,"Kirkland & Ellis",-0.363,2009,2017,NA,NA,NA,NA,NA,NA
"558","William P. Barr","Attorney General","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kirkland & Ellis",-0.363,2017,2019,NA,NA,NA,NA,NA,NA
"559","William P. Barr","Attorney General","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kirkland & Ellis",-0.363,2009,2009,NA,NA,NA,NA,NA,NA
"560","William P. Barr","Attorney General","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Och-Ziff Capital Management Group LLC",NA,2016,2018,NA,NA,NA,NA,NA,NA
"561","Joseph H. Hunt","Assistant Attorney General for the Civil Division","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Office of Legal Policy",NA,2017,2018,NA,NA,NA,NA,NA,NA
"562","Joseph H. Hunt","Assistant Attorney General for the Civil Division","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Office of the United States Attorney General",NA,2017,2017,NA,NA,NA,NA,NA,NA
"563","Joseph H. Hunt","Assistant Attorney General for the Civil Division","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Office of the United States Deputy Attorney General",NA,2002,NA,NA,NA,NA,NA,NA,NA
"564","Joseph H. Hunt","Assistant Attorney General for the Civil Division","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Office of the United States Deputy Attorney General",NA,2001,2002,NA,NA,NA,NA,NA,NA
"565","Makan Delrahim","Assistant Attorney General for the Antitrust Division","justicedept",NA,NA,NA,NA,NA,"University of California Los Angeles","John Hopkins University",NA,"George Washington University",-0.841,21,NA,NA,"Patton Boggs LLP",-0.279,1995,1998,NA,NA,1,NA,NA,NA
"566","John C. Demers","Assistant Attorney General for the National Security Division","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paulding LLC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"567","Makan Delrahim","Assistant Attorney General for the Antitrust Division","justicedept",NA,NA,NA,NA,NA,"University of California Los Angeles","John Hopkins University",NA,"George Washington University",-0.841,21,NA,NA,"Pepperdine University School of Law",NA,2011,NA,NA,NA,1,NA,NA,NA
"568","William P. Barr","Attorney General","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shaw Pittman LLP",NA,1978,1982,NA,NA,NA,NA,NA,NA
"569","William P. Barr","Attorney General","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shaw Pittman LLP",NA,1993,1994,NA,NA,NA,NA,NA,NA
"570","William P. Barr","Attorney General","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shaw Pittman LLP",NA,1984,1989,NA,NA,NA,NA,NA,NA
"571","Jefferson B. Sessions","Attorney General","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"State of Alabama",NA,1995,1997,NA,NA,NA,NA,NA,NA
"572","Jefferson B. Sessions","Attorney General","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stockman & Bedsole",NA,NA,NA,NA,NA,NA,NA,NA,NA
"573","Noel Francisco","Principal Deputy Solicitor General","justicedept",NA,NA,NA,NA,NA,"University of Chicago",NA,NA,"University of Chicago",-0.833,4,NA,NA,"The White House",NA,2001,2001,NA,NA,1,1,NA,NA
"574","Noel Francisco","Principal Deputy Solicitor General","justicedept",NA,NA,NA,NA,NA,"University of Chicago",NA,NA,"University of Chicago",-0.833,4,NA,NA,"The White House",NA,2001,2003,NA,NA,1,1,NA,NA
"575","Jeffrey A. Rosen",NA,"justicedept",NA,NA,NA,NA,NA,"Northwestern University",NA,NA,"Harvard University",-0.816,1,NA,NA,"The White House",NA,2006,2009,NA,NA,NA,NA,NA,NA
"576","William P. Barr","Attorney General","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The White House",NA,1982,1983,NA,NA,NA,NA,NA,NA
"577","William P. Barr","Attorney General","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Time Warner Inc",NA,2009,2018,NA,NA,NA,NA,NA,NA
"578","Jefferson B. Sessions","Attorney General","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States Army Reserve",NA,1973,1986,NA,NA,NA,NA,NA,NA
"579","Rod J. Rosenstein","Deputy Attorney General","justicedept",NA,NA,NA,NA,NA,"University of Pennsylvania",NA,NA,"Harvard University",-0.816,1,NA,NA,"United States Attorney's Office for the District of Maryland",NA,1997,2001,NA,NA,1,1,NA,NA
"580","Rod J. Rosenstein","Deputy Attorney General","justicedept",NA,NA,NA,NA,NA,"University of Pennsylvania",NA,NA,"Harvard University",-0.816,1,NA,NA,"United States Attorney's Office for the District of Maryland",NA,2005,2017,NA,NA,1,1,NA,NA
"581","Jefferson B. Sessions","Attorney General","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States Attorney's Office for the Southern District of Alabama",NA,1975,1977,NA,NA,NA,NA,NA,NA
"582","Jefferson B. Sessions","Attorney General","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States Attorney's Office for the Southern District of Alabama",NA,1981,1993,NA,NA,NA,NA,NA,NA
"583","Noel Francisco","Principal Deputy Solicitor General","justicedept",NA,NA,NA,NA,NA,"University of Chicago",NA,NA,"University of Chicago",-0.833,4,NA,NA,"United States Court of Appeal for the Fourth Circuit",NA,1996,1997,NA,NA,1,1,NA,NA
"584","Rod J. Rosenstein","Deputy Attorney General","justicedept",NA,NA,NA,NA,NA,"University of Pennsylvania",NA,NA,"Harvard University",-0.816,1,NA,NA,"United States Court of Appeals for the District of Columbia Circuit",NA,NA,NA,NA,NA,1,1,NA,NA
"585","Beth Ann Williams","Assistant Attorney General for the Office of Legal Policy","justicedept",NA,NA,NA,NA,NA,"Harvard University",NA,NA,"Harvard University",-0.816,1,NA,NA,"United States Court of Appeals for the Second Circuit",NA,2004,2005,NA,NA,1,1,NA,NA
"586","Noel Francisco","Principal Deputy Solicitor General","justicedept",NA,NA,NA,NA,NA,"University of Chicago",NA,NA,"University of Chicago",-0.833,4,NA,NA,"United States Department of Justice",NA,2017,2017,NA,NA,1,1,NA,NA
"587","William P. Barr","Attorney General","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States Department of Justice",NA,1991,1993,NA,NA,NA,NA,NA,NA
"588","Stephen Boyd",NA,"justicedept",NA,NA,NA,NA,NA,"University of Alabama",NA,NA,"University of Alabama",0.066,24,NA,NA,"United States Department of Justice",NA,NA,NA,NA,NA,1,NA,NA,NA
"589","Rod J. Rosenstein","Deputy Attorney General","justicedept",NA,NA,NA,NA,NA,"University of Pennsylvania",NA,NA,"Harvard University",-0.816,1,NA,NA,"United States Department of Justice",NA,1993,1994,NA,NA,1,1,NA,NA
"590","Makan Delrahim","Assistant Attorney General for the Antitrust Division","justicedept",NA,NA,NA,NA,NA,"University of California Los Angeles","John Hopkins University",NA,"George Washington University",-0.841,21,NA,NA,"United States Department of Justice",NA,2003,2005,NA,NA,1,NA,NA,NA
"591","Noel Francisco","Principal Deputy Solicitor General","justicedept",NA,NA,NA,NA,NA,"University of Chicago",NA,NA,"University of Chicago",-0.833,4,NA,NA,"United States Department of Justice",NA,2003,2005,NA,NA,1,1,NA,NA
"592","Rod J. Rosenstein","Deputy Attorney General","justicedept",NA,NA,NA,NA,NA,"University of Pennsylvania",NA,NA,"Harvard University",-0.816,1,NA,NA,"United States Department of Justice",NA,2017,2019,NA,NA,1,1,NA,NA
"593","William P. Barr","Attorney General","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States Department of Justice",NA,1989,1991,NA,NA,NA,NA,NA,NA
"594","Rod J. Rosenstein","Deputy Attorney General","justicedept",NA,NA,NA,NA,NA,"University of Pennsylvania",NA,NA,"Harvard University",-0.816,1,NA,NA,"United States Department of Justice",NA,1990,1993,NA,NA,1,1,NA,NA
"595","Rod J. Rosenstein","Deputy Attorney General","justicedept",NA,NA,NA,NA,NA,"University of Pennsylvania",NA,NA,"Harvard University",-0.816,1,NA,NA,"United States Department of Justice",NA,2001,2005,NA,NA,1,1,NA,NA
"596","Noel Francisco","Principal Deputy Solicitor General","justicedept",NA,NA,NA,NA,NA,"University of Chicago",NA,NA,"University of Chicago",-0.833,4,NA,NA,"United States Department of Justice",NA,2017,NA,NA,NA,1,1,NA,NA
"597","Rod J. Rosenstein","Deputy Attorney General","justicedept",NA,NA,NA,NA,NA,"University of Pennsylvania",NA,NA,"Harvard University",-0.816,1,NA,NA,"United States Department of Justice",NA,1994,1995,NA,NA,1,1,NA,NA
"598","Jeffrey A. Rosen",NA,"justicedept",NA,NA,NA,NA,NA,"Northwestern University",NA,NA,"Harvard University",-0.816,1,NA,NA,"United States Department of Transportation",NA,NA,2019,NA,NA,NA,NA,NA,NA
"599","Jeffrey A. Rosen",NA,"justicedept",NA,NA,NA,NA,NA,"Northwestern University",NA,NA,"Harvard University",-0.816,1,NA,NA,"United States Department of Transportation",NA,2003,2006,NA,NA,NA,NA,NA,NA
"600","William P. Barr","Attorney General","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States of America",NA,1973,1977,NA,NA,NA,NA,NA,NA
"601","Makan Delrahim","Assistant Attorney General for the Antitrust Division","justicedept",NA,NA,NA,NA,NA,"University of California Los Angeles","John Hopkins University",NA,"George Washington University",-0.841,21,NA,NA,"United States Senate",NA,2000,2003,NA,NA,1,NA,NA,NA
"602","Stephen Boyd",NA,"justicedept",NA,NA,NA,NA,NA,"University of Alabama",NA,NA,"University of Alabama",0.066,24,NA,NA,"United States Senate",NA,NA,NA,NA,NA,1,NA,NA,NA
"603","Jefferson B. Sessions","Attorney General","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"United States Senate",NA,1997,2017,NA,NA,NA,NA,NA,NA
"604","Beth Ann Williams","Assistant Attorney General for the Office of Legal Policy","justicedept",NA,NA,NA,NA,NA,"Harvard University",NA,NA,"Harvard University",-0.816,1,NA,NA,"United States Senate",NA,2005,2006,NA,NA,1,1,NA,NA
"605","Noel Francisco","Principal Deputy Solicitor General","justicedept",NA,NA,NA,NA,NA,"University of Chicago",NA,NA,"University of Chicago",-0.833,4,NA,NA,"United States Supreme Court",NA,1997,1998,NA,NA,1,1,NA,NA
"606","Rod J. Rosenstein","Deputy Attorney General","justicedept",NA,NA,NA,NA,NA,"University of Pennsylvania",NA,NA,"Harvard University",-0.816,1,NA,NA,"University of Baltimore School of Law",NA,NA,NA,NA,NA,1,1,NA,NA
"607","William P. Barr","Attorney General","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Verizon Communications",NA,2000,2008,NA,NA,NA,NA,NA,NA
"608","Joseph H. Hunt","Assistant Attorney General for the Civil Division","justicedept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"White & Case",-0.494,NA,NA,NA,NA,NA,NA,NA,NA
